Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
best of magneto,66,66,90,72.67,0.00,https://www.glocify.com/services/magento,0,0,0.00,0,39800000,"[20,20,0,20,0,20,20,0,100,20,0,80]",1581376509,"Site links, Reviews, Video, Video Carousel, People also ask"
moz link,45,45,90,25.49,0.32,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.1,28700000,"[14,43,29,29,14,14,100,43,71,100,14,14]",1580510719,"Image pack, Site links, Reviews, Tweet, AdWords top, Video Carousel, People also ask, FAQ"
idealake information technologies,68,68,210,88.03,0.00,https://www.glocify.com/,0,0,0.00,0,67,"[54,29,23,35,23,44,44,44,44,100,44,67]",1579260185,"Knowledge panel, Image pack, Site links, Reviews"
google button design,59,59,70,80.23,0.00,https://www.glocify.com/blog/now-you-can-add-call-now-button-to-your-google-posts/,0,0,0.00,0,2390000000,"[50,50,100,100,50,50,50,50,0,50,50,100]",1578984847,"Image pack, Site links, Reviews"
product development process software,74,74,70,58.14,0.00,https://www.glocify.com/services/software-product-development,0,0,0.00,0.14,1130000000,"[0,50,50,50,50,100,50,0,50,100,50,50]",1580245789,"Image pack, Site links, Reviews, Featured snippet, People also ask, FAQ"
python development services,72,72,210,57.75,3.44,https://www.glocify.com/services/python,0,0,0.00,0.05,269000000,"[66,53,66,66,66,66,66,81,81,66,66,100]",1579546749,"Reviews, Featured snippet, FAQ"
aegis graham bell awards 2012,76,76,70,16.02,0.00,https://www.glocify.com/services/angular-js,0,0,0.00,0,96,"[0,0,0,0,0,100,0,0,0,0,0,0]",1580403662,"Image pack, Video Carousel"
moz explorer,53,53,110,78.3,0.26,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.06,6550000,"[82,100,82,65,82,82,41,41,41,53,41,65]",1578895209,"Image pack, Site links, Reviews"
kashika,46,46,1000,82.44,0.00,https://www.glocify.com/blog/author/kashikawalia/,0,0,0.00,0,457000,"[45,45,45,45,45,55,63,100,100,100,81,81]",1579759431,"Image pack, Reviews, Video Carousel, FAQ"
software prototyping,24,24,720,71.71,0.13,https://www.glocify.com/services/software-prototyping,0,0,0.00,0.02,52600000,"[67,100,82,100,100,82,82,100,55,55,82,82]",1580316519,"Knowledge panel, Reviews, Featured snippet, Video Carousel, People also ask"
moz blog,29,29,880,73.89,0.71,https://www.glocify.com/blog/tag/moz/,0,0,0.00,0.01,24200000,"[88,88,88,88,88,100,100,100,88,100,100,100]",1579291116,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ"
css experience,47,47,70,79.53,0.00,https://www.glocify.com/services/css,0,0,0.00,0.01,462000000,"[22,100,11,11,11,33,78,11,11,22,11,11]",1581070288,"Site links, Reviews, People also ask, FAQ"
software product development,82,82,210,65.48,1.04,https://www.glocify.com/services/software-product-development,0,0,0.00,0.11,2440000000,"[65,42,65,65,100,81,81,81,100,100,81,100]",1579705351,"Image pack, Reviews, Featured snippet, People also ask"
what is node js exactly,52,52,70,73.89,0.00,https://www.glocify.com/services/node-js,0,0,0.00,0.03,13600000,"[40,20,20,20,20,20,20,20,20,20,100,20]",1579588794,"Featured snippet, Video Carousel, People also ask, FAQ"
c++ video,90,90,70,86.6,0.00,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0,45300000,"[41,29,6,6,6,100,6,6,18,6,6,24]",1579598528,"Reviews, Video, FAQ"
cms report mobile application,100,100,140,80.16,4.64,https://www.glocify.com/,0,0,0.00,0.07,164000000,"[100,66,19,15,12,19,15,5,2,15,12,7]",1579280671,"Site links, Reviews, Video"
site explorer,21,21,320,69.1,0.65,https://www.glocify.com/blog/tag/open-site-explorer/,0,0,0.00,0.05,1120000000,"[100,82,100,82,82,67,82,100,82,100,100,100]",1581438427,"Reviews, Featured snippet, Video Carousel, People also ask"
smm solutions,22,22,110,57.15,0.06,https://www.glocify.com/services/smm,0,0,0.00,0.2,12100000,"[100,81,54,54,65,35,27,27,27,19,42,27]",1580957553,"Knowledge panel, Reviews, Video Carousel"
drupal ecommerce developers,82,82,90,47.09,0.00,https://www.glocify.com/hire/drupal,0,0,0.00,0.05,1940000,"[29,14,14,29,29,57,100,14,43,14,14,100]",1579425201,"Reviews, FAQ"
drupal dms,58,58,90,39.33,0.00,https://www.glocify.com/services/document-management,0,0,0.00,0.04,1280000,"[29,14,0,100,14,14,71,29,14,14,14,14]",1581334138,"Image pack, Video"
google ganesh,57,57,210,34.33,0.00,https://www.glocify.com/blog/author/ganesh/,0,0,0.00,0.25,91,"[67,67,67,54,44,54,36,67,54,44,67,100]",1580513082,"Image pack, Site links, Reviews, Video, People also ask"
node js web app,70,70,70,75.07,6.65,https://www.glocify.com/services/node-js,0,0,0.00,0.11,91400000,"[22,11,100,11,22,44,56,22,11,11,11,11]",1579190227,
node js service,81,81,140,69.44,0.00,https://www.glocify.com/services/node-js,0,0,0.00,0.01,237000000,"[79,79,79,100,100,100,100,100,79,100,100,100]",1581372079,"Site links, Reviews, Video Carousel, People also ask"
node js web application security,83,83,90,67.5,0.00,https://www.glocify.com/services/node-js,0,0,0.00,0.14,87900000,"[29,14,0,14,14,0,29,14,57,14,100,29]",1580087340,"Site links, Reviews, AdWords bottom, Video Carousel, People also ask"
domain expertise example,36,36,90,68.83,0.00,https://www.glocify.com/services/rich-solutions-domain-expertise,0,0,0.00,0.01,91400000,"[50,100,50,50,50,50,50,50,100,50,50,50]",1580284722,"Knowledge panel, Featured snippet, Video Carousel, People also ask"
moz site explorer,33,33,170,75.76,0.39,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.14,6030000,"[100,81,81,81,53,66,53,44,28,28,34,44]",1579744596,"Site links, Reviews, Video Carousel, People also ask, FAQ"
drupal template development,88,88,70,53.37,0.00,https://www.glocify.com/services/drupal,0,0,0.00,0,4480000,"[11,0,100,0,0,0,0,11,22,0,0,0]",1580985818,"Image pack, Site links, Reviews, Video Carousel"
moz link explorer,18,18,590,48.64,0.39,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.16,573000,"[100,100,81,100,100,100,81,81,81,100,81,100]",1581117082,"Image pack, Site links, Reviews, Video Carousel, People also ask"
codeigniter security best practices,66,66,70,58.82,0.00,https://www.glocify.com/services/codeigniter,0,0,0.00,0,1840000,"[44,11,11,44,44,44,100,11,11,78,11,22]",1581319141,"Image pack, Reviews, Video, Featured snippet, People also ask, FAQ"
naveen verma,75,75,260,88.56,0.00,https://www.glocify.com/blog/author/navi22k/,0,0,0.00,0,3640000,"[100,100,100,100,81,66,66,53,53,66,53,53]",1579265722,"Image pack, Reviews, Video"
css real estate,77,77,90,61.45,0.00,https://www.glocify.com/services/css,0,0,0.00,0,128000000,"[25,50,25,25,25,25,25,25,75,50,100,25]",1580284999,"Site links, Video, Video Carousel"
idea solutions,89,89,110,75.58,0.00,https://www.glocify.com/,0,0,0.00,0.01,425000000,"[82,53,65,100,82,65,65,53,53,53,53,82]",1579113398,"Local pack, Image pack, Reviews"
php and c++ integration,71,71,70,70.32,0.00,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0,16100000,"[14,14,14,0,29,14,14,100,0,100,0,0]",1579285403,Video
idea companies pvt ltd bangalore,95,95,90,73.5,0.00,https://www.glocify.com/,0,0,0.00,0.04,59500000,"[11,0,100,11,11,11,22,44,22,11,11,11]",1580133500,"Local pack, Image pack, Reviews"
customer relationship solutions,89,89,70,70.94,0.00,https://www.glocify.com/services/customer-relationship-management,0,0,0.00,0,275000000,"[0,100,50,50,50,100,50,0,0,0,50,0]",1579259885,"Site links, Reviews, Featured snippet"
link explorer,19,19,590,60.59,0.38,https://www.glocify.com/blog/tag/link-explorer/,0,0,0.00,0.15,910000000,"[100,82,67,82,82,82,82,82,67,82,82,67]",1581240309,"Site links, Reviews, Featured snippet, AdWords top, Video Carousel, People also ask"
open link explorer,25,25,70,68.17,0.42,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.08,612000000,"[57,14,14,14,100,14,14,14,14,71,14,29]",1579622558,"Image pack, Reviews, AdWords top, Video Carousel, People also ask"
node js web application,60,60,210,71.19,6.55,https://www.glocify.com/services/node-js,0,0,0.00,0.2,115000000,"[81,81,65,81,54,81,81,100,65,81,81,65]",1580555779,"Reviews, Featured snippet, Video Carousel, People also ask, FAQ"
swastik program in c,35,35,70,64.24,0.00,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0,831000,"[11,11,11,100,100,11,11,78,11,11,33,78]",1580786131,"Image pack, Reviews, Video Carousel"
moz open site explorer,48,48,390,55.27,0.40,https://www.glocify.com/blog/faster-and-a-lot-better-mozs-link-building-tool-link-explorer-is-now-out/,0,0,0.00,0.17,432000,"[100,100,66,66,66,66,54,54,54,54,44,44]",1579888447,"Site links, Reviews, AdWords top, Video Carousel, People also ask"
wireframes are static,67,67,210,74.25,0.00,https://www.glocify.com/services/software-prototyping,0,0,0.00,0,1920000,"[0,0,0,0,100,13,7,7,4,6,4,7]",1580474702,"Image pack, Featured snippet, Video Carousel, People also ask, FAQ"
bootstrap software,73,73,110,68.1,0.00,https://www.glocify.com/services/bootstrap,0,0,0.00,0.02,87500000,"[50,64,79,100,50,79,50,79,79,79,79,79]",1579575347,"Knowledge panel, Site links, Reviews, Video Carousel, People also ask, FAQ"
virtualization management software,27,27,90,71.24,0.00,https://www.glocify.com/services/virtualization-management,0,0,0.00,0.14,44500000,"[100,29,14,100,14,29,57,14,71,14,14,43]",1579172192,Reviews
opensiteexplorer com,46,46,70,49.79,0.00,https://www.glocify.com/blog/tag/open-site-explorer/,0,0,0.00,0.06,557000,"[25,50,25,100,75,25,50,75,25,25,25,25]",1580664107,"Site links, Reviews, Video Carousel, People also ask"
bootstrap development services,37,50,90,50.8,0.00,https://www.glocify.com/services/bootstrap,0,0,0.00,0.01,76400000,"[14,14,57,14,29,14,100,14,100,43,14,14]",1581507620,Reviews
css design,90,90,390,58.57,0.13,https://www.glocify.com/services/css,0,0,0.00,0.01,567000000,"[100,81,81,100,81,81,81,81,67,81,100,100]",1579859293,"Image pack, Site links, Reviews, Video Carousel, People also ask"
moz web development,69,69,140,72.89,0.21,https://www.glocify.com/blog/,0,0,0.00,0.21,2750000,"[22,9,6,6,28,100,81,53,44,81,28,6]",1580293044,"Knowledge panel, Image pack, Reviews"
c application development,41,41,70,69.8,0.85,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0.13,3120000000,"[67,33,33,33,33,33,33,33,33,100,33,33]",1581096985,"Site links, Reviews, Featured snippet, Video Carousel, People also ask, FAQ"
swastik vihar,57,57,110,87.52,0.05,https://www.glocify.com/,0,0,0.00,0.04,82,"[100,82,82,82,53,82,41,41,82,65,65,65]",1579426725,"Knowledge panel, Image pack, Site links, Reviews"
c++ application,31,31,1000,84.43,0.33,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0,75300000,"[68,68,77,100,77,68,68,55,68,100,100,77]",1579301305,"Reviews, Featured snippet, Video Carousel, People also ask"
ganesh blog,62,62,90,68.85,0.00,https://www.glocify.com/blog/author/ganesh/,0,0,0.00,0.01,82200000,"[14,100,29,100,14,14,14,14,14,14,14,14]",1579947675,"People also ask, FAQ"
bootstrap company,75,75,210,57.71,0.00,https://www.glocify.com/services/bootstrap,0,0,0.00,0,79300000,"[65,65,54,81,54,54,81,65,81,100,100,100]",1581042406,"Site links, Reviews, Featured snippet, Video Carousel, People also ask"
name the company that markets photoshop,66,66,90,79.41,0.00,https://www.glocify.com/services/photoshop,0,0,0.00,0,27000000,"[0,25,25,25,100,50,25,0,0,0,25,75]",1579669291,"Image pack, Site links, Reviews, Featured snippet, People also ask, FAQ"
open site explorer,27,27,1600,58.28,0.37,https://www.glocify.com/blog/tag/open-site-explorer/,0,0,0.00,0.25,813000000,"[100,66,66,66,66,66,55,55,45,55,45,45]",1581196942,"Image pack, Site links, Reviews, AdWords top, Video Carousel, People also ask"
codeigniter is mobile,34,34,70,47.57,0.00,https://www.glocify.com/services/codeigniter,0,0,0.00,0,12800000,"[20,20,100,0,20,20,80,40,40,0,80,20]",1581309038,"Reviews, Video Carousel"
an enterprise resource planning application is an example of,59,49,70,78.4,0.00,https://www.glocify.com/services/enterprise-resource-planning,0,0,0.00,0,167000000,"[20,40,20,20,20,100,40,20,100,20,20,20]",1581493027,Reviews
moz google updates,39,39,90,47.23,0.00,https://www.glocify.com/blog/tag/moz/,0,0,0.00,0,27700000,"[100,100,25,50,25,25,25,25,25,25,100,25]",1581346933,"Site links, Reviews, Video, Video Carousel, People also ask, FAQ"
enterprise application integration concepts,96,96,50,72.44,1.16,https://www.glocify.com/services/enterprise-application-integration,0,0,0.00,0.24,65800000,"[33,11,22,11,11,11,11,22,56,22,100,11]",1581201705,"Image pack, Featured snippet, AdWords bottom, Video Carousel, People also ask"
virtualization performance management,64,64,90,63.62,0.00,https://www.glocify.com/services/virtualization-management,0,0,0.00,0,36100000,"[100,67,33,0,67,0,0,0,67,0,0,0]",1581159108,"Image pack, Featured snippet, Video Carousel"
iphone developer,82,82,320,71.19,0.35,https://www.glocify.com/hire/iphoneapp,0,0,0.00,0.21,1900000000,"[100,67,82,100,67,82,67,67,82,82,82,82]",1580131978,"Knowledge panel, Site links, Reviews, People also ask, FAQ"
